grupo_equipe;data_inicio_exec;data_fim_exec;aerogerador;desc_especie;desc_esquema;quantidade
AGD;2026-03-04 11:05:00;2026-03-04 11:25:00;AMP-07;SISTEMA PITCH;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 11:05:00;2026-03-04 11:25:00;AMP-07;TORRE WTG;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 14:10:00;2026-03-04 14:40:00;AMP-08;CONVERSOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 14:10:00;2026-03-04 14:40:00;AMP-08;GERADOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 14:10:00;2026-03-04 14:40:00;AMP-08;NACELLE;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 14:10:00;2026-03-04 14:40:00;AMP-08;SISTEMA PITCH;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 14:10:00;2026-03-04 14:40:00;AMP-08;TORRE WTG;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 14:55:00;2026-03-04 15:10:00;AMP-09;CONVERSOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 14:55:00;2026-03-04 15:10:00;AMP-09;GERADOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 14:55:00;2026-03-04 15:10:00;AMP-09;NACELLE;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 14:55:00;2026-03-04 15:10:00;AMP-09;SISTEMA PITCH;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 14:55:00;2026-03-04 15:10:00;AMP-09;TORRE WTG;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
AGD;2026-03-04 15:15:00;2026-03-04 15:25:00;AMP-10;CONVERSOR;MPP1 - INSPEÇÃO EXTERNA DE AEROGERADOR - M6;1
